Primary Key,Area,Estimate Basis
Hanson2016_1,16,Walls
Hanson2016_4,52,Inhabited area
Hanson2016_7,130,Walls
Hanson2016_9,30,Walls
Hanson2016_11,45,Inhabited area
Hanson2016_13,199,Walls
Hanson2016_14,225,Walls of Themistocles and Valerian
Hanson2016_15,64,Walls
Hanson2016_16,13,Walls
Hanson2016_17,25,Walls
Hanson2016_19,18,Urban grid
Hanson2016_20,23,Walls
Hanson2016_21,20,Walls
Hanson2016_24,58,Walls
Hanson2016_26,241,Urban grid
Hanson2016_27,94,Walls
Hanson2016_29,30,Inhabited area
Hanson2016_30,153,Inhabited area
Hanson2016_33,13,Walls
Hanson2016_34,6,Walls (Late 4th c B.C.)
Hanson2016_37,87,Walls
Hanson2016_39,6,Walls
Hanson2016_41,18,Urban grid
Hanson2016_42,13,"Walls, 12 to 13 ha."
Hanson2016_43,79,Walls
Hanson2016_44,32,Walls
Hanson2016_46,6,Walls
Hanson2016_55,121,Walls
Hanson2016_56,100,Inhabited area
Hanson2016_57,140,Walls
Hanson2016_58,19,Walls
Hanson2016_59,110,Walls
Hanson2016_60,33,Walls
Hanson2016_62,20,Walls
Hanson2016_63,21,Walls
Hanson2016_64,15,Walls
Hanson2016_65,174,Walls (Augustan)
Hanson2016_66,69,Walls
Hanson2016_68,91,Walls
Hanson2016_69,28,Walls
Hanson2016_70,5,Inhabited area
Hanson2016_74,50,Walls
Hanson2016_75,14,Walls
Hanson2016_77,56,Walls
Hanson2016_82,20,Walls
Hanson2016_83,91,"Walls, 82 to 100 ha."
Hanson2016_84,195,Walls
Hanson2016_85,60,Walls
Hanson2016_86,47,Walls
Hanson2016_87,141,Urban grid
Hanson2016_88,81,Walls
Hanson2016_92,175,Walls
Hanson2016_93,304,Walls
Hanson2016_94,77,Walls
Hanson2016_95,40,Walls
Hanson2016_96,62,Walls
Hanson2016_97,190,Walls
Hanson2016_98,8,Inhabited area
Hanson2016_100,30,Inhabited area
Hanson2016_101,40,Walls
Hanson2016_103,53,Inhabited area
Hanson2016_104,49,Inhabited area
Hanson2016_107,31,Walls
Hanson2016_108,41,Walls
Hanson2016_110,972,Urban grid
Hanson2016_112,138,Urban grid
Hanson2016_113,125,"Inhabited area, 100 or 150 ha."
