Primary Key,Civic Status,Notes
Hanson2016_1,Rights and privileges,libera
Hanson2016_4,Rights and privileges,libera
Hanson2016_8,Rights and privileges,libera et immunis
Hanson2016_14,Rights and privileges,foederata
Hanson2016_16,Colonia,
Hanson2016_16,Colonia,
Hanson2016_16,Rights and privileges,ius Romanum
Hanson2016_16,Rights and privileges,ius Romanum
Hanson2016_25,Rights and privileges,libera
Hanson2016_26,Colonia,
Hanson2016_26,Colonia,
Hanson2016_26,Colonia?,
Hanson2016_26,Provincial capital,
Hanson2016_26,Rights and privileges,libera et immunis
Hanson2016_26,Rights and privileges,ius Romanum
Hanson2016_26,Rights and privileges,ius Romanum?
Hanson2016_28,Rights and privileges,libera et immunis?
Hanson2016_29,Rights and privileges,libera et immunis
Hanson2016_32,Colonia,
Hanson2016_32,Colonia,
Hanson2016_32,Rights and privileges,ius Romanum
Hanson2016_32,Rights and privileges,ius Romanum
Hanson2016_33,Rights and privileges,libera et immunis
Hanson2016_35,Rights and privileges,immunis
Hanson2016_36,Rights and privileges,foederata
Hanson2016_57,Colonia,
Hanson2016_60,Rights and privileges,libera
Hanson2016_65,Colonia,
Hanson2016_65,Provincial capital,
Hanson2016_65,Rights and privileges,foederata
Hanson2016_65,Rights and privileges,libera
Hanson2016_73,Rights and privileges,libera et immunis
Hanson2016_76,Colonia,
Hanson2016_76,Colonia,
Hanson2016_76,Metropolis capital?,
Hanson2016_76,Rights and privileges,ius Romanum
Hanson2016_76,Rights and privileges,ius Romanum
Hanson2016_76,Rights and privileges,libera et immunis
Hanson2016_81,Rights and privileges,libera
Hanson2016_88,Rights and privileges,libera
Hanson2016_91,Rights and privileges,libera
Hanson2016_93,Rights and privileges,libera et immunis
Hanson2016_96,Rights and privileges,libera
Hanson2016_103,Rights and privileges,libera
Hanson2016_106,Rights and privileges,foederata
Hanson2016_108,Rights and privileges,foederata
Hanson2016_109,Rights and privileges,libera
Hanson2016_110,Metropolis capital,
Hanson2016_110,Provincial capital,
Hanson2016_111,Metropolis (nome) capital,
Hanson2016_112,Metropolis (nome) capital,
Hanson2016_112,Rights and privileges,libera
Hanson2016_113,Metropolis (nome) capital,
Hanson2016_114,Metropolis (nome) capital,
Hanson2016_115,Metropolis (nome) capital,
Hanson2016_116,Metropolis (nome) capital,
Hanson2016_117,Metropolis (nome) capital,
Hanson2016_118,Metropolis (nome) capital,
Hanson2016_119,Metropolis (nome) capital,
Hanson2016_120,Metropolis (nome) capital,
Hanson2016_121,Metropolis (nome) capital,
Hanson2016_122,Metropolis (nome) capital,
Hanson2016_123,Metropolis (nome) capital,
Hanson2016_124,Metropolis (nome) capital,
Hanson2016_125,Metropolis (nome) capital,
Hanson2016_126,Metropolis (nome) capital,
Hanson2016_127,Metropolis (nome) capital,
Hanson2016_128,Metropolis (nome) capital,
Hanson2016_129,Metropolis (nome) capital,
Hanson2016_130,Metropolis (nome) capital,
Hanson2016_131,Metropolis (nome) capital,
Hanson2016_132,Metropolis (nome) capital,
Hanson2016_133,Metropolis (nome) capital,
Hanson2016_134,Metropolis (nome) capital,
Hanson2016_135,Metropolis (nome) capital,
Hanson2016_136,Metropolis (nome) capital,
Hanson2016_137,Metropolis (nome) capital,
Hanson2016_138,Metropolis (nome) capital?,
Hanson2016_139,Metropolis (nome) capital,
Hanson2016_140,Metropolis (nome) capital,
Hanson2016_141,Metropolis (nome) capital,
Hanson2016_142,Metropolis (nome) capital,
Hanson2016_143,Metropolis (nome) capital,
Hanson2016_144,Metropolis (nome) capital,
Hanson2016_145,Metropolis (nome) capital,
Hanson2016_146,Metropolis (nome) capital?,
Hanson2016_147,Metropolis (nome) capital,
Hanson2016_148,Metropolis (nome) capital,
Hanson2016_149,Metropolis (nome) capital,
Hanson2016_150,Metropolis (nome) capital,
Hanson2016_151,Metropolis (nome) capital,
Hanson2016_153,Metropolis (nome) capital,
Hanson2016_154,Metropolis (nome) capital,
Hanson2016_155,Metropolis (nome) capital,
Hanson2016_156,Metropolis (nome) capital,
Hanson2016_157,Municipium,
Hanson2016_158,Municipium,
Hanson2016_159,Municipium,
Hanson2016_159,Rights and privileges,ius Latii?
Hanson2016_159,Rights and privileges,libera
Hanson2016_160,Municipium,
Hanson2016_160,Rights and privileges,libera
Hanson2016_160,Rights and privileges,libera et immunis
Hanson2016_161,Municipium,
Hanson2016_161,Rights and privileges,ius Latii?
Hanson2016_162,Colonia,
Hanson2016_162,Municipium,
Hanson2016_162,Rights and privileges,ius Romanum
Hanson2016_163,Municipium,
Hanson2016_164,Municipium,
Hanson2016_165,Municipium,
Hanson2016_166,Municipium,
Hanson2016_166,Rights and privileges,libera
Hanson2016_169,Colonia,
Hanson2016_169,Municipium,
Hanson2016_170,Colonia,
Hanson2016_170,Municipium,
Hanson2016_170,Rights and privileges,ius Latii?
Hanson2016_171,Colonia,
Hanson2016_171,Rights and privileges,ius Romanum
Hanson2016_172,Colonia,
Hanson2016_172,Colonia,
Hanson2016_172,Colonia,
Hanson2016_172,Provincial capital,
Hanson2016_172,Rights and privileges,ius Romanum
Hanson2016_172,Rights and privileges,ius Romanum
Hanson2016_173,Municipium,
Hanson2016_174,Colonia,
Hanson2016_174,Municipium,
Hanson2016_175,Colonia,
Hanson2016_175,Rights and privileges,libera
Hanson2016_175,Rights and privileges,ius Romanum?
Hanson2016_176,Colonia,
Hanson2016_176,Rights and privileges,ius Romanum
Hanson2016_176,Rights and privileges,libera
Hanson2016_177,Municipium,
Hanson2016_177,Rights and privileges,ius Latii
Hanson2016_178,Colonia,
Hanson2016_178,Colonia,
Hanson2016_178,Conventus capital,
Hanson2016_178,Rights and privileges,immunis
Hanson2016_178,Rights and privileges,ius Romanum
Hanson2016_178,Rights and privileges,libera
Hanson2016_179,Colonia,
Hanson2016_179,Colonia,
Hanson2016_179,Rights and privileges,libera
Hanson2016_179,Rights and privileges,ius Romanum
Hanson2016_179,Rights and privileges,ius Romanum
Hanson2016_180,Colonia,
Hanson2016_180,Colonia,
Hanson2016_180,Municipium,
Hanson2016_180,Rights and privileges,libera et immunis
Hanson2016_181,Colonia,
Hanson2016_181,Rights and privileges,libera
Hanson2016_181,Rights and privileges,libera et immunis
Hanson2016_182,Municipium,
