urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Roma,65452,107.35129560594024,106.84799776935769,107.87529410865977,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
,40944,104.47521004298554,103.58889031359907,105.31004420672137,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
Pompeii,4511,48.64819330525383,47.55006582120851,49.62046948878471,,,79.0,,,,,0.0,0.0,0.0,0.0
Salona,3472,185.5625,182.174445600323,189.05218646293923,,,150.0,,,,,0.0,0.0,0.0,0.0
Mogontiacum,2971,65.41433860652978,62.826426878317676,68.09361536277515,,,29.0,,,,,0.0,0.0,0.0,0.0
Ostia,2647,74.1405364563657,72.0572487478604,76.25541752158551,,,80.0,,,,,0.0,0.0,0.0,0.0
Aquileia,2034,93.14601769911505,91.1276398744594,95.26629954078663,,,100.0,,,,,0.0,0.0,0.0,0.0
Puteoli,1780,92.52640449438202,90.33142141804227,94.67557454607464,,,100.0,,,,,0.0,0.0,0.0,0.0
Carnuntum (1),1648,149.64866504854368,144.27259740538753,154.70832297147936,,,130.0,,,,,0.0,0.0,0.0,0.0
Cirta,1020,88.90686274509804,86.23333333333333,92.00044861820763,,,60.0,,,,,0.0,0.0,0.0,0.0
