rank,group,count,pct_of_valid
1,Roma,65457,36.242
2,Latium et Campania / Regio I,18512,10.25
3,Dalmatia,7088,3.924
4,Hispania citerior,6312,3.495
5,Germania superior,5874,3.252
6,Venetia et Histria / Regio X,5872,3.251
7,Dacia,4870,2.696
8,Britannia,4647,2.573
9,Pannonia superior,4460,2.469
10,Samnium / Regio IV,4187,2.318
11,Africa proconsularis,3518,1.948
12,Germania inferior,3390,1.877
13,Apulia et Calabria / Regio II,3132,1.734
14,Pannonia inferior,3132,1.734
15,Numidia,3014,1.669
16,Etruria / Regio VII,2801,1.551
17,Umbria / Regio VI,2763,1.53
18,Noricum,2761,1.529
19,Baetica,2593,1.436
20,Transpadana / Regio XI,2434,1.348
