province,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Apulia et Calabria / Regio II,3132,82.83588761174968,81.04811025779782,84.6622103162899,,,81.0,,,,,0.0,0.0,0.0,0.0
Numidia,3014,77.60816191108162,75.80230814328536,79.31420130077667,,,100.0,,,,,0.0,0.0,0.0,0.0
Etruria / Regio VII,2801,87.35058907533023,84.88473430984126,89.86862879198512,,,84.0,,,,,0.0,0.0,0.0,0.0
Umbria / Regio VI,2763,85.78248280854145,83.686840841817,88.09355588578858,,,100.0,,,,,0.0,0.0,0.0,0.0
Noricum,2761,133.29011227816008,129.4471170636925,137.1635603941532,,,100.0,,,,,0.0,0.0,0.0,0.0
Baetica,2593,72.70574623987659,70.93052099901716,74.69902152554117,,,60.0,,,,,0.0,0.0,0.0,0.0
Transpadana / Regio XI,2434,119.52095316351685,116.96498480174658,121.84629725782368,,,100.0,,,,,0.0,0.0,0.0,0.0
,2244,139.23885918003566,135.09736195152607,143.3947959170348,,,110.0,,,,,0.0,0.0,0.0,0.0
Moesia inferior,1952,86.27407786885246,82.84732758469664,89.82912283204571,,,70.0,,,,,0.0,0.0,0.0,0.0
Lusitania,1685,85.58516320474777,82.913928305918,88.25653230463065,,,100.0,,,,,0.0,0.0,0.0,0.0
Moesia superior,1380,115.17246376811595,111.04353561044319,119.62623233498161,,,100.0,,,,,0.0,0.0,0.0,0.0
Sardinia,1340,91.25597014925373,87.58060608332681,94.68207655098833,,,80.0,,,,,0.0,0.0,0.0,0.0
Belgica,1246,139.9895666131621,134.82130417986352,145.25042880065666,,,125.0,100.0,130.0,,,0.0,0.0,0.0,0.0
Gallia Narbonensis,1192,64.98657718120805,61.01085056283236,69.01858900994606,,,50.0,,,,,0.0,0.0,0.0,0.0
Aemilia / Regio VIII,1172,85.53754266211604,82.24041046909639,88.68814613040509,,,100.0,,,,,0.0,0.0,0.0,0.0
Picenum / Regio V,1081,87.72802960222016,84.14386175550912,91.43002808535954,,,81.0,,,,,0.0,0.0,0.0,0.0
Raetia,1034,115.54932301740813,110.27344639145232,121.41140425909833,,,100.0,,,,,0.0,0.0,0.0,0.0
Macedonia,996,160.46987951807228,154.2742256000308,167.07704527295337,,,150.0,,,,,0.0,0.0,0.0,0.0
Aquitani(c)a,919,133.80413492927096,126.80874391679677,141.514800660094,,,100.0,,,,,0.0,0.0,0.0,0.0
Bruttium et Lucania / Regio III,909,87.54235423542355,84.24464752796551,91.01706622965001,,,100.0,,,,,0.0,0.0,0.0,0.0
Liguria / Regio IX,852,92.53403755868544,88.76774266158998,96.47646632260604,,,100.0,,,,,0.0,0.0,0.0,0.0
Lugudunensis,746,96.0911528150134,91.15659341288358,101.31934405628611,,,100.0,,,,,0.0,0.0,0.0,0.0
Mauretania Caesariensis,723,40.27524204702628,36.10362088511531,45.11662390996258,,,3.0,,,,,0.0,0.0,0.0,0.0
Asia,713,38.330995792426364,34.106688218333865,43.676703612131675,,,11.0,,,,,0.0,0.0,0.0,0.0
Belgica | Germania superior,703,182.45092460881935,175.19807447256187,189.2741583255762,,,200.0,,,,,0.0,0.0,0.0,0.0
Sicilia,672,105.18303571428571,99.75740015391501,110.18894677494681,,,100.0,,,,,0.0,0.0,0.0,0.0
Syria,575,32.85565217391304,29.074611491664243,37.07773449630123,,,22.0,,,,,0.0,0.0,0.0,0.0
Achaia,564,96.66666666666667,88.9632620749669,104.2983395796731,,,60.0,,,,,0.0,0.0,0.0,0.0
Alpes Cottiae,468,229.40811965811966,218.50496062465913,240.3448076877604,,,200.0,,,,,0.0,0.0,0.0,0.0
Alpes Maritimae,400,157.75,146.32300599654315,170.92283288838155,,,100.0,,,,,0.0,0.0,0.0,0.0
Galatia,348,28.60632183908046,23.125429017053612,35.614616806227964,,,3.0,,,,,0.0,0.0,0.0,0.0
Thracia,278,71.90287769784173,60.71929117767323,85.66231255676989,,,21.0,13.0,42.56250000000023,,,0.0,0.0,0.0,0.0
Aegyptus,277,37.74007220216607,30.1994474915073,48.111522383767536,,,5.0,2.0,9.0,,,0.0,0.0,0.0,0.0
Alpes Poeninae,210,201.3,184.360005386258,216.95258161770025,,,221.0,,,,,0.0,0.0,0.0,0.0
Arabia,176,20.380681818181817,14.397206014932655,29.175021949097392,,,2.0,,,,,0.0,0.0,0.0,0.0
Palaestina,170,51.82941176470588,40.99264135084794,66.57271720797482,,,13.0,,,,,0.0,0.0,0.0,0.0
Pontus et Bithynia,169,41.75739644970414,33.15023930408515,52.75743326023635,,,6.0,4.0,13.0,,,0.0,0.0,0.0,0.0
Mauretania Tingitana,165,18.09090909090909,13.76827461084943,24.78181818181818,,,4.0,,,,,0.0,0.0,0.0,0.0
Cappadocia,140,22.464285714285715,16.28201317986209,32.41435520937562,,,3.0,,,,,0.0,0.0,0.0,0.0
Corsica,140,166.95,148.07458054363056,187.98296014361898,,,150.0,,,,,0.0,0.0,0.0,0.0
Alpes Graiae,77,166.0909090909091,139.62858676745228,192.9506423942305,,,150.0,100.0,230.0,,,0.0,0.0,0.0,0.0
Creta et Cyrenaica,68,53.35294117647059,40.87274542921173,67.56635249454146,,,32.0,,,,,0.0,0.0,0.0,0.0
Lycia et Pamphylia,66,28.939393939393938,18.952401368566726,43.78665570196257,,,6.5,3.0,12.370602862616806,,,0.0,0.0,0.0,0.0
Cilicia,57,55.43859649122807,36.15117823186195,82.91743135660846,,,14.0,,,,,0.0,0.0,0.0,0.0
Belgica | Germania inferior,49,122.79591836734694,103.164350159057,143.10324929238024,102.18367346938776,142.6535714285714,100.0,71.90551588793014,130.0,100.0,150.0,0.0,0.0,0.0,0.0
Barbaricum,30,100.73333333333333,71.84894175152277,137.23447371026302,70.665,137.90083333333334,68.5,30.0,100.0,30.0,100.0,0.0,0.0,0.0,0.0
Cyprus,17,28.235294117647058,9.27389391920908,78.51230443883041,5.998529411764708,61.76617647058823,2.0,1.0,4.0,2.0,23.0,0.0,0.0,0.0,0.0
Provincia incerta,15,107.26666666666667,71.1695663352334,163.129929800247,67.065,154.46666666666667,100.0,60.0,177.58235328483352,50.0,100.0,0.0,0.0,0.0,0.0
