city,oxrep_primary_key,oxrep_province,our_province,is_provincial_capital,source
Alexandria (Aegyptus),Hanson2016_110,Aegyptus,Aegyptus,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Ancyra,Hanson2016_411,Cappadocia et Galatia,Galatia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Antiochia (Syria),Hanson2016_1324,Syria,Syria,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Aquincum,Hanson2016_1267,Pannonia Inferior,Pannonia inferior,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Attalea,Hanson2016_1103,Lycia et Pamphylia,Lycia et Pamphylia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Augusta Emerita,Hanson2016_1077,Lusitania,Lusitania,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Augusta Praetoria,Hanson2016_225,Alpes Graiae et Poeninae,Transpadana / Regio XI,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Augusta Vindelicum,Hanson2016_1288,Raetia,Raetia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Bostra,Hanson2016_231,Arabia,Arabia,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
Burdigala,Hanson2016_567,Gallia Aquitania,Aquitani(c)a,1,"Hanson 2016 OXREP Cities Database, Civic Status = 'Provincial capital' (incl. one 'Provincial capital?'); the dataset Hanson 2021 used. Matched to our cities by exact Ancient-Toponym string (collision-safe). Downloaded 2026-06-05 from oxrep.web.ox.ac.uk/cities-database."
