city,province,is_provincial_capital,source,note
Corinthia,Achaia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Corinth, seat of the proconsul of Achaia."
Alexandria (Aegyptus),Aegyptus,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Alexandria, seat of the praefectus Aegypti."
Carthago,Africa proconsularis,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Carthage, seat of the proconsul of Africa."
Segusio,Alpes Cottiae,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Segusio (Susa), centre of Alpes Cottiae (procuratorial district)."
Burdigala,Aquitani(c)a,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Burdigala (Bordeaux), capital of Aquitania."
Bostra,Arabia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Bostra, capital of Arabia Petraea (annexed AD 106)."
Ephesus,Asia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Ephesus, seat of the proconsul of Asia."
Corduba,Baetica,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Corduba (Cordoba), capital of Baetica."
Colonia Augusta Treverorum,Belgica,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Augusta Treverorum (Trier), capital of Gallia Belgica. Our spelling prefixes 'Colonia'."
Londinium,Britannia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Londinium (London), capital of Britannia."
Mazaca,Cappadocia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Mazaca/Caesarea, capital of Cappadocia. Our frame spells it 'Mazaca'."
Tarsus,Cilicia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Tarsus, metropolis and seat of the governor of Cilicia."
Aleria,Corsica,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Aleria, principal town of Corsica (administered with Sardinia under an equestrian procurator)."
Gortyna,Creta et Cyrenaica,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Gortyn (Crete), seat of the proconsul of the joint province Creta et Cyrenaica."
Sarmizegetusa,Dacia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Ulpia Traiana Sarmizegetusa, capital of Dacia (founded by Trajan; AD-117 seat). NOT Apulum."
Salona,Dalmatia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Salona, capital of Dalmatia."
Ancyra,Galatia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Ancyra, capital of Galatia."
Narbo Martius,Gallia Narbonensis,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Narbo (Narbonne), capital of Gallia Narbonensis."
Colonia Agrippinensis,Germania inferior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Colonia Claudia Ara Agrippinensium (Cologne), capital of Germania inferior."
Mogontiacum,Germania superior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Mogontiacum (Mainz), capital of Germania superior."
Tarraco,Hispania citerior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Tarraco (Tarragona), capital of Hispania citerior (Tarraconensis)."
Lugdunum,Lugudunensis,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Lugdunum (Lyon), capital of Gallia Lugdunensis and de facto of the Tres Galliae."
Augusta Emerita,Lusitania,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Augusta Emerita (Merida), capital of Lusitania."
Thessalonica,Macedonia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Thessalonica, capital of Macedonia."
Iol,Mauretania Caesariensis,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Iol Caesarea (Cherchell), capital of Mauretania Caesariensis. Our frame spells it 'Iol'."
Tingis,Mauretania Tingitana,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Tingis (Tangier), capital of Mauretania Tingitana."
Tomis,Moesia inferior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.",Tomis (Constanta) functioned as the metropolis/seat of Moesia inferior's Pontic coast; used as the Moesia inferior capital here. (Governor's residence variably at Tomis/Marcianopolis; Tomis is the available match.)
Viminacium (1),Moesia superior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Viminacium, capital of Moesia superior. LIRE row suffixed '(1)'."
Virunum,Noricum,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Virunum, capital of Noricum."
Lambaesis,Numidia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Lambaesis, military command seat (legio III Augusta) and de facto centre of the Numidia region. NB in AD 117 Numidia was not yet a separate province (formalised c. AD 198); LIRE treats it separately, so Lambaesis is flagged as its capital. Cirta was the civilian centre."
Caesarea Maritima,Palaestina,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Caesarea Maritima, capital of Iudaea/Syria Palaestina."
Aquincum,Pannonia inferior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Aquincum (Budapest), capital of Pannonia inferior."
Carnuntum (1),Pannonia superior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Carnuntum, capital of Pannonia superior. LIRE splits it into '(1)' and '(2)' (same place); BOTH flagged."
Carnuntum (2),Pannonia superior,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Same capital (Carnuntum) as the primary matched row; LIRE duplicate. Carnuntum, capital of Pannonia superior. LIRE splits it into '(1)' and '(2)' (same place); BOTH flagged."
Augusta Vindelicum,Raetia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Augusta Vindelicum (Augsburg), capital of Raetia."
Caralis,Sardinia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Caralis (Cagliari), capital of Sardinia."
Syracusae,Sicilia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Syracuse, seat of the governor of Sicilia."
Antiochia (Syria),Syria,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.","Antioch on the Orontes, capital of Syria."
Heraclea (Thracia),Thracia,1,"Standard AD-117 (death of Trajan) province->capital set, cross-checked against the Barrington Atlas (Talbert 2000) place-identifications; fallback per brief because Hanson 2016 publishes the COUNT (40 capitals in AD 117, Fig. 120) but no extractable named list. See build_provincial_capitals.py docstring.",Perinthus/Heraclea was the AD-117 governor's seat of Thracia (provincial council also at Philippopolis). Our frame has 'Heraclea (Thracia)' (matched as the governor's seat) and 'Philippopolis (Thracia)'.
